title,company,location,date,job_url,job_description,date_loaded
Analista de Business Intelligence - Trabajo Remoto | REF#250860,BairesDev,"San José, San Jose, Costa Rica",2025-01-31,https://www.linkedin.com/jobs/view/4140197679/,"En BairesDev® llevamos 15 años liderando proyectos de tecnología para clientes como Google, Rolls-Royce y las startups más innovadoras de Silicon Valley. Actualmente, contamos con un equipo de 4000 profesionales conformado por el top 1% de la industria trabajando de forma remota desde más de 50 países.
Al postularte a esta vacante, estarás dando el primer paso en un proceso que va más allá de lo convencional: Buscaremos conocer en profundidad tus habilidades, intereses y expectativas con el objetivo de realizar una búsqueda personalizada y encontrar el rol ideal para ti en BairesDev.
Analista de Business Intelligence en BairesDev
Buscamos Analista de Business Intelligence para unirse a nuestro equipo. Serán responsables del diseño, implementación, operación y mantenimiento de las analíticas y bases de datos. ¡Esta es una excelente oportunidad para aquellos profesionales que buscan desarrollarse en una de las empresas de más rápido crecimiento en la industria!
Actividades Principales
-  Extraer y manipular grandes volúmenes de datos utilizando herramientas de Business Intelligence.
-  Supervisar la implementación de datos en el almacén de datos.
-  Analizar bases de datos y realizar informes relacionados con la información analizada.
-  Realizar informes relacionados con la información analizada.
-  Comunicar conceptos complejos y resultados de análisis de forma clara y eficaz.
-  Crear o descubrir nuevos programas de adquisición y procesamiento de datos.
¿Qué Buscamos?:
-  5+ años de experiencia como analista de Business Intelligence.
-  Conocimiento de bases de datos, estadísticas y procesamiento de datos.
-  Experto en SQL y Excel.
-  Capacidad para comprender y encontrar aplicaciones adecuadas para datos y resultados de análisis.
-  Nivel de inglés avanzado.
Qué ofrecemos para que tu trabajo (y tu vida) sea más fácil:
- Trabajo 100% remoto: trabaja desde tu casa o donde quieras.
- Compensación en USD o en tu moneda local, como prefieras, muy por encima de la media del mercado.
- Hardware y software.
- Horarios flexibles
- Licencias por mater/paternidad, vacaciones y días festivos nacionales pagos.
- Ambiente laboral multicultural e innovador, perfecto para hacer amigos, colaborar y aprender de las personas más talentosas del mundo.
- Oportunidades de crecimiento y desarrollo profesional a través de mentorías y entrenamientos.
¡Únete a nuestro equipo global!
                
            
                            
            ",2025-03-26 19:06:07.192431
AutoCAD Specialist - Data Reporting and Analytics,Korn Ferry,"Heredia, Costa Rica",2025-03-07,https://www.linkedin.com/jobs/view/4177768950/,"AutoCAD Specialist - Data Reporting and Analytics
Job Summary
This individual contributor is primarily responsible for assisting senior employees in supporting data-informed decisions, assisting with data and information gathering for targeted variables in an established systematic fashion, and supporting data preparation for analytic efforts.
This position assists with the execution of creative data analytic approaches leading to actionable outcomes, assists with the development, implementation, and automation of business and reporting solutions, and assists with data analysis interpretation. These candidates will be responsible to collect AutoCAD drawings and PDF's of Mechanical, Electrical and Plumbing filles. Modify the drawings into a composite set or work with a vendor to complete.
Essential Responsibilities
- Pursues self-development and effective relationships with others by sharing resources, information, and knowledge with coworkers and customers; listening, responding to, and seeking performance feedback; acknowledging strengths and weaknesses; assessing and responding to the needs of others; and adapting to and learning from change, difficulties, and feedback.
- Completes work assignments by applying up-to-date knowledge in subject area to meet deadlines; following procedures and policies and applying data, and resources to support projects or initiatives; collaborating with others, often cross-functionally, to solve business problems; supporting the completion of priorities, deadlines, and expectations; communicating progress and information; identifying and recommending ways to address improvement opportunities when possible; and escalating issues or risks as appropriate.
- Assists with data analysis interpretation by organizing and editing reports and presentations telling a compelling story to stakeholders to enable and influence decision making.
- Supports data-informed decisions under the guidance of more senior employees by working with clients to identify and clarify key business needs; assisting in the development of outcomes and process measures; translating business requirements; informing data/information needs and data collection methods; measuring the impact of business decisions on clients, customers, and/or members; working with clients and staff to identify opportunities and methods to improve efficiencies with analysis; supporting end-users; and documenting processes and deliverables.
- Assists with data and information gathering for targeted variables in an established systematic fashion by cleaning and organizing data; querying, merging, and extracting data across sources; completing routine data refresh and update; and providing user support and documentation.
- Supports data preparation for analytic efforts under the guidance of more senior employees by cleaning data to ensure quality and accuracy based on provided guidelines, and consolidating data.
- Assists with the execution of creative data analytic approaches leading to actionable outcomes by organizing metrics to be analyzed and calculating algorithms and conducting basic analyses under the guidance of more senior employees, including descriptive statistics.
- Assists with the development, implementation, and automation of business and reporting solutions by creating summary statistics; organizing data reports, visualizations, and/or interactive Business Intelligence (BI) reports; identifying opportunities to improve exiting reporting solutions; and preparing documentation as appropriate.
- Set up and maintain a drawing file structure
- Develop composite sets of drawings including Mechanical, Electrical, Plumbing and Fire Life Safety drawings
- Search Kaiser Archives and software solutions for DWG or PDF file.
- Customer Support to internal and external staff looking for drawings.
- Develop and implement innovative methods for data cleanup and optimization for updating Kaisers systems of record from data on the drawings.
- Technical Support and Troubleshooting
- Investigate and resolve technical issues related to application operations.
- Provide troubleshooting assistance to the application support team.
Job Qualifications
Minimum Qualifications
- University degree or technical program, Social/Physical/Life Science, Business, or related field OR Minimum two (3) years’ experience in AutoCAD or a directly related field.
- In lieu of University degree, an equivalent experience of 3 years will be considered, in addition to the listed minimum years of experience (6 years total).
Additional Requirements
- Proficient English level; Relational Database Management; Project Management; Written Communication.
Preferred Qualifications
- 2 years’ Experience working with AutoCAD MEP drawings and data analysis.
- Knowledge, Skills, and Abilities (KSAs): Data Extraction; Data Mining; Data Visualization Tools; Statistical Programming.        
            
                            
            ",2025-03-26 19:06:07.192431
Business Data Senior Analyst,Experian,"Heredia, Heredia, Costa Rica",2025-03-10,https://www.linkedin.com/jobs/view/4085843843/,"Company Description
Experian is a global data and technology company, powering opportunities for people and businesses around the world. We help to redefine lending practices, uncover and prevent fraud, simplify healthcare, create marketing solutions, and gain deeper insights into the automotive market, all using our unique combination of data, analytics and software. We also assist millions of people to accomplish their financial goals and help them save time and money.
We operate across a range of markets, from financial services to healthcare, automotive, agribusiness, insurance, and many more industry segments.
We invest in people and new advanced technologies to unlock the power of data. As a FTSE 100 Index company listed on the London Stock Exchange (EXPN), we have a team of 22,500 people across 32 countries. Our corporate headquarters are in Dublin, Ireland. Learn more at experianplc.com.
Job Description
You will manage ongoing and time-sensitive Product Operations support for product functions in our ECS Direct-to-Consumer portfolio. You will strengthen product feedback loops between customers, Product, and Technology to deliver more value to customers faster. You will use data to identify customer feedback trends and themes. You will identify opportunities for process improvements, and help define those improvements.
Responsibilities
-  Oversee the strategy and management of daily operations of customer escalations tied to different products, focusing on pre-launch process creation and post-launch production support.
-  Lead research, investigation, and management of customer escalations to determine cause and next-step recommendations.
-  Be the Subject Matter Expert (SME) for important product features in the ECS product portfolio, along with the supporting systems and technologies.
-  Guide collaboration with other teams (such as Product, Technology, Customer Care, BusOps), and external partners to track, guide, and resolve customer escalations in a systematic.
-  Lead data analysis: capture, organize, and surface customer feedback & escalations analytics data in high impact, accessible ways to facilitate product & customer insights.
-  Lead the administration and support of product & operational standards and processes for the ongoing operation of products, customer escalations, and feedback.
-  Help define the Product Operations roadmap. Identify opportunities for process improvements, and lead the definition, communication and execution of those improvements.
-  Facilitate and project manage sensitive issue handling for close-loop resolution including assessment, research, remediation.
-  Scale and share product knowledge across the organization for new or updated product features (e.g. creating/maintaining a knowledge base, internal training).
You will report to the Director, Product Operations.
Qualifications
- Bachelor’s degree with 5+ years of experience in product operations, operations strategy, product analytics, data analyst, or similar systems analytical roles that worked with Product and Engineering teams.
-  Adept in SQL, Excel (can perform complex functions) , Python, and data tables – experience working with big data and writing advanced PostgreSQL queries (AWS Redshift & DynamoDB experience).
-  Experience working with data visualization and business intelligence software (e.g. Tableau).
-  Experience with Serverless Computing systems (e.g. AWS Lambda, Microsoft Azure Functions, IBM OpenWhisk).
-  Knowledge in Agile software tools (e.g Jira) and methodologies.
-  Excellent technical knowledge, curiosity, and familiarity with new technologies, APIs, programming languages, and databases.
-  Experience with complex direct-to-consumer products and systems.
-  Ability to summarize data from multiple data sources to inform and support critical decisions about the product strategy, with experience building dashboards using visualization tools.
-  Experience building trusted partnerships with Product, Operations, and Technology teams.
-  Ability to manage multiple complex workstreams in a regulated environment is critical.
-  Ability to produce and present analyses and business cases to all kinds of partners.
Additional Information
Our benefits include: Medical, life and dental insurance, Asociación Solidarista, International Share Save Plan, Flex Work, Work from home, Paid time off, Annual Performance Bonus, Education Reimbursement, Family Bonding, Bereavement Leave, Referral Program, and more.
Our uniqueness is that we celebrate yours. Experian's culture and people are main differentiators. We take our people agenda very seriously and focus on what matters; DEI, work/life balance, development, authenticity, engagement, collaboration, wellness, reward & recognition, volunteering... the list goes on. Experian's people first approach is award winning; Great Place To Work™ in 24 countries, FORTUNE Best Companies to work and Glassdoor Best Places to Work (globally 4.4 Stars) to name a few. Check out Experian Life on social or our Careers Site to understand why.
Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is a critical part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, colour, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity.
                
            
                            
            ",2025-03-26 19:06:07.192431
Business Intelligence Data Analyst,Walmart Global Tech,"Heredia, Costa Rica",2025-03-20,https://www.linkedin.com/jobs/view/4187169198/,"About us/team scope:
We are the E2E Data and Analytics team of Walmart USA, based in Costa Rica. We design advanced analytical solutions to resolve strategic problems across diverse supply chain functions and advise on how to improve and optimize our omnichannel operations. In 2020, Walmart ranked 1st in Forbes list of largest retail companies in the United States, reaching over $500 billion in sales and 1.5 million associates.
Job description (Individual Contributor role):
- Engage with customers from different areas to understand their business needs from a data standpoint and translate those into actions plans to fulfill those needs.
- Communicate effectively and develop relationship with technical experts and business leaders in a dynamic, multicultural and international environment.
- Enable effective decision making by retrieving and wrangling data from multiple sources and compiling it into a digestible and actionable format.
- Analyze and solve business problems with focus on understanding root causes and driving forward-looking opportunities.
- Interface with business and Walmart supply chain customers to gather and present data. 
Entry Requirements – Minimum Qualifications:
- Bachelor’s degree in engineering, computer science, economics, or a data related field.
- +2 years of experience in data related position.
- High intermediate / Advanced English level (B2+ - C1). Able to communicate in English (written and spoken) with native speakers.
- Good interpersonal relationships and presentation skills.
- Demonstrated teamwork and customer centered abilities.
- SQL knowledge.
- Data visualization tools such as Tableau, Power BI or Looker.
Desired skills:
- Cloud Technologies Knowledge.
- Database management using tools like Big Query, Presto, Hadoop, MSSQL Server or Oracle.
- Best-practice documentation and GIT usage.
- Availability to travel to Home Office (USA) if required.        
            
                            
            ",2025-03-26 19:06:07.192431
Business Intelligence Data Scientist,Hapi App,Costa Rica,2025-03-26,https://www.linkedin.com/jobs/view/4191402102/,"😁🎉Sobre Hapi
Hapi es la plataforma de inversiones líder para clientes de Latinoamérica.
Democratizamos el acceso a las inversiones para que cualquiera en LatAm pueda invertir en acciones, ETFs y criptomonedas, sin mínimos y sin comisiones, con el fin de generar riqueza y lograr libertad financiera! 🚀 📈.
🦄🚀
¿Es Hapi la empresa correcta para ti?
 Sí, y solo sí:
- Quieres que tu trabajo tenga un alto impacto en la vida de cientos de miles de personas
- Quieres aprender y trabajar sobre las últimas tecnologías
- Quieres desarrollar herramientas y sistemas innovadores para cientos de miles de personas
- Puedes manejar el trabajo bajo presión, obsesivamente enfocado en resultados
- Buscas una empresa de rápido crecimiento con oportunidades de crecimiento profesional y carrera
- Quieres una empresa donde seas accionista, tengas participación en la empresa
‍👩‍💻👨‍💻 
¿Eres la persona que estamos buscando? Necesitas:
- +3 años de experiencia y sólidos conocimiento de ingeniería de datos e inteligencia de negocios
- Experiencia con bases de datos relacionales (SQL)
- Conocimientos y experiencia con Python/R
- Experiencia extrayendo y construyendo datos de negocio
- Experiencia con herramientas de visualización de datos (eg. Metabase, DataStudio, PowerBI)
- Experiencia con herramientas de medición de métricas (Mixpanel, Amplitude, GA4, Firebase o Looker)
- Experiencia extensiva en analisis de datos y reconocimiento de patrones
- Sólidas habilidades para identificar desde la data oportunidades que impacten el negocio
- Conocimientos de estadística
- Ser obsesivo con tu trabajo para lograr los objetivos
🚴🚴‍♀️ Algunos de los desafíos que deberás enfrentar!
- Extraer y contruir tu propia data desde el tech stack
- Analisis crítico de datos y métricas de negocio
- Identificar potenciales oportunidades de negocio
- Identificar segmentos desatendidos con potencial de crecimiento
- Trabajar con el equipo de producto y tech para lograr mejoras de performance
- Plantear, relizar y medir experimentos A/B
- Medir el impacto de las diferentes acciones
❤️‍🔥 Te amaríamos más aún si tienes...
- Conocimiento de IA generativa y LLMs (Grok, OpenAI, Gemini, Claude)
- Experiencia en startups
- Tienes experinecia invirtiendo en acciones o criptos
- Eres cliente de Hapi
- Experiencia escalando empresas hasta unicornios
- Inglés avanzado
🎁🎁 Lo Que Tenemos En Hapi Para Ti
- Ser parte de una startup de rápido crecimiento, con alto impacto, y en proceso a convertirse en un siguiente unicornio 🦄.!
- Ser parte de la comunidad de Y Combinator, a la que Hapi pertenece
- Trabajo remoto!
- Trabajar de la mano con un equipo altamente experimentado
- Equity en Hapi (ser dueño de tu destino siendo accionista de Hapi)
- 🚀 ¡Y muchas cosas más!        
            
                            
            ",2025-03-26 19:06:07.192431
Business Intelligence Developer,Intel Corporation,"San José, San Jose, Costa Rica",2025-03-20,https://www.linkedin.com/jobs/view/4190008430/,"Internal Audit is chartered by the Audit and Finance Committee of Intel's Board of Directors to provide the Board and management with independent, objective assurance and advisory services. We advise and assist Intel in the wholistic oversight of enterprise risk management and propel Intel's risk management culture to help Intel achieve its purpose. Our work spans the breadth of Intel's operations, including manufacturing, engineering, technology development, supply chain, sales and marketing, and other corporate functions such as Information Technology. Internal Audit's Digital and Analytics Services team leverages advanced analytics, data science, and automation to identify and assess risks, deliver projects, and increase the efficiency and effectiveness of Internal Audit's services.
This role offers a distinctive opportunity to apply aspects of advanced analytics, data science, and automation to a variety of high-impact projects across many different functions and business groups throughout Intel in ways not typically experienced in other groups due to the unique nature of Internal Audit. Internal Audit is seeking a business intelligence developer with a strong track record of collaboration and business partnership, innovation, and applied analytics/business intelligence solutions to join our team.
The primary responsibilities for this role will include, but are not limited to:
- Developing and deploying cutting edge data analytics solutions to collect, explore, and extract insights on Intel's risks and internal controls.
- Applying advanced analytics, business intelligence, data science or automation solutions to Internal Audit operations to enhance efficiency and effectiveness.
- Communicating data-driven insights in a clear, concise manner to non-technical stakeholders.-Developing data insights into digital products and guiding them into IT supported production
- Move up and down the BI dev stack, leveraging tools including Power BI, Power Apps, Power Automate, SSAS, and SQL.
A successful candidate will have proven experience demonstrating the following skills and behavioral traits:
- A high tolerance for ambiguity and proven ability to develop solutions for complex business problems.
- A strong business acumen combined with the ability to quickly learn essential acumen in new business areas.
- An ability to leverage advances in analytics, business intelligence, and data science tools and techniques to develop value-add insights and solutions.
- Flexibility and willingness to seamlessly navigate multiple projects or priorities with varied objectives and timelines.
- A strong focus on collaboration and teamwork, including across organization lines.
Minimum qualifications are required to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates
Minimum Qualifications
-  Bachelor's degree in Data Science, Computer Science, Management Information Systems, Statistics, Finance, or similar field, or equivalent expertise proven via work experience.
-  3+ years relevant experience in analytics, business intelligence, statistics, data science, software development, or similar field.
-  3+ years of experience with analytics/business intelligence tools and techniques commensurate with experience requirements, including SQL (at least basic) and Power BI, including M and DAX (at least intermediate). Quantify
- Intermediate to Advanced English proficiency (both verbal and written)
- Must have unrestricted permanent right to work in Costa Rica.
Preferred Qualifications
- Experience with Intel's systems and data environments.
- Experience with anomaly detection and other risk identification techniques.
- Experience with continuous auditing or analytics for auditing.
- Advanced SQL or Power BI.
- Advanced visualizations (development of custom, interactive visualizations).
- Experience with SSAS, MS Power Apps, or Power Automate.
- Experience partnering with IT and bringing data products to production.
- Basic to intermediate programming with Python or R.
As members of the Finance team, employees act as full partners in making and supporting business decisions that are aimed at maximizing shareholder value. Intel Finance has a strong focus on facilitating change and improvement both within finance and in the operations supported.All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site. 
* Job posting details (such as work model, location or time type) are subject to change.
We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here.
                
            
                            
            ",2025-03-26 19:06:07.192431
Business Intelligence Engineer - Costa Rica,World Wide Technology,Costa Rica,2025-03-10,https://www.linkedin.com/jobs/view/4181483933/,"Why WWT?
At World Wide Technology, we work together to make a new world happen. Our important work benefits our clients and partners as much as it does our people and communities across the globe. WWT is dedicated to achieving its mission of creating a profitable growth company that is also a Great Place to Work for All. We achieve this through our world-class culture, generous benefits and by delivering cutting-edge technology solutions for our clients.
Founded in 1990, World Wide Technology (WWT) is a global technology solutions provider leading the AI and Digital Revolution. With more than $20 billion in annual revenue, WWT combines the power of strategy, execution and partnership to accelerate digital transformational outcomes for large public and private organizations. Through its Advanced Technology Center, a collaborative ecosystem of the world's most advanced hardware and software solutions, WWT helps clients and partners conceptualize, test and validate innovative technology solutions for the best business outcomes and then deploys them at scale through its global warehousing, distribution and integration capabilities.
With over 10,000 employees and more than 55 locations around the world, WWT's culture, built on a set of core values and established leadership philosophies, has been recognized 13 years in a row by Fortune and Great Place to Work® for its unique blend of determination, innovation and creating a great place to work for all. With this culture at its foundation, WWT bridges the gap between business and technology to make a new world happen for its customers, partners and communities.
Want to work with highly motivated individuals on high-performance teams? Join WWT today!
Who is the Consulting Services Team and why join?
The Team: We are hyper-focused on providing business outcomes for our clients. We take on the most challenging problems our customers face and provide innovative solutions that can involve data strategy, data visualization, analytical modeling, cloud strategy, digital transformation, AI/ML platforms, and security services. We are made up of experienced management consultants, engineers with a wide range of technical expertise, and data scientists with PhDs from the top universities. Our goal is to bring together business acumen with full-stack technical know-how to develop innovative solutions for our clients' most complex challenges.
As a Data Visualization & Analytics Engineer, you will collaborate with a multi-disciplinary team of solution architects, engineers, consultants, and data scientists on a wide range of business problems. You will provide input to solution design and be responsible for implementation within the following areas of the visualization/BI technology layer: data acquisition and modeling, data calculations (when required outside of the data warehouse), data visualization, and dashboard creation. Data Visualization Engineers work directly with customers and internal delivery teams and apply a consultative approach to problem solving and communication. This position will allow you to build your skills in data visualization, architecture, design, data integration and customer communication across a variety of industries.
RESPONSIBILITIES:
-  Data Acquisition & Modeling: Design and develop ingestion pipelines from a variety of data sources into the BI technology layer and create data models to support visualizations
-  Data Calculations: Develop calculations/measures within the BI technology layer using native BI languages (e.g. Power BI DAX) to create insightful metrics and meet business needs
-  Data Visualization: Deliver tangible business value by building charts and tables tailored to our customers' business needs 
-  Dashboards & Reports: Consolidate visuals into cohesive dashboards, paginated reports and BI apps that incorporate intuitive navigation to maximize business impact
,
QUALIFICATIONS:
-  5+ years of relevant work experience in data analysis and visualization or related field
-  Experience with data visualization tools: Power BI, Tableau, or Google Data Studio
-  Experience building and optimizing complex data visualization dashboards leveraging native tool development languages (e.g. PowerBI Dax)
-  Experience producing dashboards, facilitating the end-to-end development lifecycle and managing governance/access (RLS, Access Control, Workspace Design, Email Subscriptions, etc.)
-  Experience working with Star Schema data models in data warehouses
-  Demonstrated experience analyzing diverse data sets to answer specific business questions
-  Experience supporting cross-functional teams in a dynamic environment
Nice to Have Qualifications:
-  Power BI embedded into front end application
-  SQL knowledge and experience building SQL queries
-  Experience working with cloud data warehouses: Snowflake, Azure Data Warehouse, etc.
Want to learn more about Consulting Services? Check us out on our platform:
https://www.wwt.com/service/consulting-services/overview
The well-being of WWT employees is essential. So, when it comes to our benefits package, WWT has one of the best. We offer the following benefits to all full-time employees:
- Health and Wellbeing: Combined Health Insurance (Dental and Vision), Employee Assistance Program, Wellness program
- Financial Benefits: Competitive pay, Profit Sharing, Life and Disability Insurance, Tuition Reimbursement
- Paid Time Off: PTO & Holidays, Parental Leave, Sick Leave, Bereavement
- Additional Perks: Employee Assistance Program, Employee Discount Program and more!
We strive to create an environment where all employees are empowered to succeed based on their skills, performance, and dedication. Our goal is to cultivate a culture of belonging that encourages innovation, collaboration, and respect for all team members, ensuring that WWT remains a great place to work for All!        
            
                            
            ",2025-03-26 19:06:07.192431
Business Intelligence Internship,Align Technology,Costa Rica,2025-03-22,https://www.linkedin.com/jobs/view/4159495005/,"Department: 
Research & Development
Location: 
CRI-Costa Rica-Cartago
Description
Align is the industry leader and innovator in medical devices which focuses on revolutionizing the dental and orthodontic industry. Align, the makers of Invisalign ® is looking for a Business Intelligence Internship in Cartago, Lima office. This internship offers a unique opportunity for hands-on experience in dynamic projects. The intern will join our team and spearhead a new project of Research and Development area. As an intern, you will play a pivotal role in shaping and implementing strategies to enhance our programs.
Role expectations
In this internship, you will…
-  Project Support: Assist in executing projects by designing solutions and implementing changes in the current software.
-  Software Development: Participate in the design, coding, testing, and maintenance of software applications and systems.
-  Team Collaboration: Work with the development team to plan, coordinate, and execute software projects.
-  Technical Documentation: Assist in preparing technical documentation, including flowcharts, software specifications, and user manuals.
-  Requirements Analysis: Contribute to the analysis of project requirements and provide insights and recommendations.
-  Effective Communication: Communicate effectively with team members, contractors, and stakeholders in both English and Spanish.
What We're Looking For
In this internship, you'll need …
Typically
- Advanced college student or recent graduate of a Systems Engineering, Computer Science or related fields at an accredited university.
- Bilingual proficiency in English and Spanish, with strong written and verbal communication skills in both languages.
- Schedule availability to allocate +24 hours a week on the internship project.
-  Note: Internship can only be performed face-to-face (no Work from Home enabled for interns).
Applicant Privacy Policies
Review our 
Applicant Privacy Policies
 for additional information.
Global Diversity Statement
At Align, we believe in the power of a smile, and we know that every smile is as unique as our employees. As we grow, we are committed to building a workforce rich in diverse cultural backgrounds and life experiences, fostering a culture of open-mindedness and compassion. We live our company values by promoting healthy people and healthy communities, all with the intent of changing millions of lives, one unique smile at a time.
Equal Opportunity Statement
Align Technology is an equal opportunity employer. We are committed to providing equal employment opportunities in all our practices, without regard to race, color, religion, sex, national origin, ancestry, marital status, protected veteran status, age, disability, sexual orientation, gender identity or expression, or any other legally protected category. Applicants must be legally authorized to work in the country for which they are applying, and employment eligibility will be verified as a condition of hire.
                
            
                            
            ",2025-03-26 19:06:07.192431
Business Intelligence Specialist,GomezLee Marketing,"San José, San Jose, Costa Rica",2024-12-21,https://www.linkedin.com/jobs/view/4124874757/,"Objetivo
Serás el pilar clave en la consolidación y gestión de información, asegurando la creación y entrega efectiva de reportes, así como el seguimiento meticuloso de la ejecución de proyectos.
Responsabilidades Claves
- Asegurar el cumplimiento de los objetivos establecidos, entregando resultados a tiempo y acorde a los estándares de calidad del proyecto.
- Mantener la consistencia en el ruteo y la frecuencia de las visitas.
- Generar y entregar reportes detallados y oportunos.
- Diseñar y desarrollar dashboards interactivos en Power BI para una visualización clara de los datos.
Habilidades y Capacidades
- Dominio de técnicas de comunicación efectivas para establecer y fortalecer relaciones estratégicas con el equipo de ejecución.
- Excelente habilidad en oratoria y técnicas de presentación persuasivas.
- Fuertes habilidades de liderazgo, con un enfoque en el trabajo en equipo y el desarrollo profesional de los colaboradores.
- Competencia en el uso de tecnología, plataformas en línea, y habilidades avanzadas en administración de datos y generación de reportes en hojas de cálculo.
- Conocimientos avanzados de Microsoft Word y Excel.
- Experiencia en la creación y análisis de reportes utilizando Power BI.
- Manejo competente de Microsoft Office y/o GSuite.
Buscamos un candidato orientado a resultados, con integridad y responsabilidad, que posea un enfoque analítico y estratégico. Deberá ser motivado e innovador, con una fuerte inclinación al trabajo en equipo.
Perfil
-  Título Universitario o en curso Bachillerato en Mercadeo, Administración de Empresas, Ingeniería en informática y/o áreas afines. 
-  Imagen personal impecable 
-  Más de 5 años de experiencia        
            
                            
            ",2025-03-26 19:06:07.192431
"DIS Business Intelligence / Data Analyst, Senior",Experian,"Heredia, Heredia, Costa Rica",2025-03-12,https://www.linkedin.com/jobs/view/4182962773/,"Company Description
Experian is a global data and technology company, powering opportunities for people and businesses around the world. We help to redefine lending practices, uncover and prevent fraud, simplify healthcare, create marketing solutions, and gain deeper insights into the automotive market, all using our unique combination of data, analytics and software. We also assist millions of people to accomplish their financial goals and help them save time and money.
We operate across a range of markets, from financial services to healthcare, automotive, agribusiness, insurance, and many more industry segments.
We invest in people and new advanced technologies to unlock the power of data. As a FTSE 100 Index company listed on the London Stock Exchange (EXPN), we have a team of 22,500 people across 32 countries. Our corporate headquarters are in Dublin, Ireland. Learn more at experianplc.com.
Job Description
The DIS Product Developer Expert will consult with important partners to identify needs and opportunities to develop improved data accuracy tools including reports, dashboards, and delivery. The DM Specialist Expert will translate our needs into analytics requirements, build and test data accuracy products that help Experian's data furnishers maintain the quality of their reported data.
Main Responsibilities
Analyze, designs, develops, codes and implements programs in Python and other programming languages, for a specific assigned software system or systems. These may include PC or Web development tools.
Identifies and resolves application, database software, and programming problems
Support integrated applications with an understanding of system integration, test planning, scripting, and troubleshooting.
Translate our needs and requirements into clear data analytics reports.
Responsible for key strategic client projects and always delivers the product on time
Ensure the data is available, retrieving the data from a various data source, ordering the data in a visual and structured manner, and delivering the product on time.
Qualifications
Bachelor´s degree in computer science or equivalent experience
- 6+ years of experience
- Proficient in Python
- Knowledge of SQL language and concepts of database (DB2 and MySQL are mandatory).
- Knowledge of ETL processes, data warehouse or analytical tools for business purposes (Tableau, Alteryx)
- Experience with AWS services (e.g., Athena, Glue, SageMaker, etc.)
- Knowledge of C#, Java, or equivalent programming languages
- Ability to creatively work through several system constraints and create holistic dashboards/reports based on data from diverse sources.
- Critical thinking with the ability to identify and relate business problems to data quality issues and vice versa.
Additional Information
This is a permanent home-based role in Costa Rica. No Visa sponsorship or relocation available.**
Our benefits include: Medical, life and dental insurance, Asociación Solidarista, International Share Save Plan, Flex Work/Work from home, Paid time off, Annual Performance Bonus, Education Reimbursement, Family Bonding, Bereavement Leave, Referral Program, and more.
Experian is proud to be an Equal Opportunity and Affirmative Action employer. Our goal is to create a successful, inclusive and diverse team where people love their work and love working together. We believe that diversity, equity and inclusion is important to our purpose of creating a better tomorrow. We value the uniqueness and want you to bring your whole, authentic self to work. For us, this is The Power of YOU and it ensures that we live what we believe.
Experian Careers - Creating a better tomorrow together
Find out what its like to work for Experian by clicking here        
            
                            
            ",2025-03-26 19:06:07.192431
